graph,model,all_wrong_sure,all_correct_sure,mean_conf,frac_wrong
ring,baseline,0.0,0.0,0.9992921098615669,0.35
ring,PBRC (social-only fallback),0.0,0.0,0.5436267561954413,0.4
ring,baseline,0.0,0.0,0.9996458879082027,0.75
ring,PBRC (social-only fallback),0.0,0.0,0.5447378902506911,0.65
ring,baseline,0.0,0.0,0.970923442174047,0.7
ring,PBRC (social-only fallback),0.0,0.0,0.5424269864213713,0.5
ring,baseline,0.0,0.0,0.9875994584049309,0.8
ring,PBRC (social-only fallback),0.0,0.0,0.5403045585630983,0.65
ring,baseline,0.0,0.0,0.9755010613151704,0.6
ring,PBRC (social-only fallback),0.0,0.0,0.5427069075050028,0.55
ring,baseline,0.0,0.0,0.9813397426175217,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.5424280293843282,0.45
ring,baseline,0.0,0.0,0.9782334939707523,0.15
ring,PBRC (social-only fallback),0.0,0.0,0.5341374828318528,0.4
ring,baseline,0.0,0.0,0.9889600211698653,0.75
ring,PBRC (social-only fallback),0.0,0.0,0.5432672620125671,0.6
ring,baseline,0.0,0.0,0.9582501573653461,0.65
ring,PBRC (social-only fallback),0.0,0.0,0.5334436087135266,0.65
ring,baseline,0.0,0.0,0.988247164202981,0.7
ring,PBRC (social-only fallback),0.0,0.0,0.5470183795284158,0.55
ring,baseline,0.0,0.0,0.9698253779357178,0.25
ring,PBRC (social-only fallback),0.0,0.0,0.538772636679249,0.4
ring,baseline,0.0,0.0,0.9455812216804793,0.15
ring,PBRC (social-only fallback),0.0,0.0,0.5372536878663448,0.3
ring,baseline,0.0,0.0,0.9961299527316427,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.53655798802523,0.5
ring,baseline,0.0,0.0,0.9998011931660086,0.2
ring,PBRC (social-only fallback),0.0,0.0,0.5341073867087489,0.4
ring,baseline,0.0,0.0,0.9633182430721279,0.65
ring,PBRC (social-only fallback),0.0,0.0,0.5354430058059653,0.55
ring,baseline,0.0,0.0,0.9801203710119635,0.35
ring,PBRC (social-only fallback),0.0,0.0,0.5416615645974915,0.5
ring,baseline,0.0,0.0,0.9979312727703868,0.6
ring,PBRC (social-only fallback),0.0,0.0,0.5469314427213793,0.6
ring,baseline,0.0,0.0,0.9995202898648147,0.2
ring,PBRC (social-only fallback),0.0,0.0,0.5431320350625446,0.3
ring,baseline,0.0,0.0,0.9592235684765308,0.85
ring,PBRC (social-only fallback),0.0,0.0,0.5353943331052924,0.55
ring,baseline,0.0,0.0,0.9943464654453565,0.35
ring,PBRC (social-only fallback),0.0,0.0,0.5505413022399457,0.4
ring,baseline,1.0,0.0,0.9999999916264789,1.0
ring,PBRC (social-only fallback),0.0,0.0,0.5378527748436511,0.65
ring,baseline,0.0,0.0,0.9759266168172284,0.35
ring,PBRC (social-only fallback),0.0,0.0,0.5376799955558852,0.45
ring,baseline,0.0,0.0,0.9778961796925069,0.1
ring,PBRC (social-only fallback),0.0,0.0,0.5485698385702825,0.25
ring,baseline,0.0,0.0,0.9625647762529219,0.1
ring,PBRC (social-only fallback),0.0,0.0,0.5384384322739556,0.1
ring,baseline,0.0,0.0,0.9989938337571355,0.35
ring,PBRC (social-only fallback),0.0,0.0,0.5417523342489393,0.4
ring,baseline,0.0,0.0,0.9943721428434079,0.6
ring,PBRC (social-only fallback),0.0,0.0,0.5413883376231772,0.6
ring,baseline,0.0,0.0,0.9770108070512586,0.2
ring,PBRC (social-only fallback),0.0,0.0,0.5405295208751287,0.3
ring,baseline,0.0,0.0,0.9583675284985664,0.75
ring,PBRC (social-only fallback),0.0,0.0,0.5399201234299714,0.6
ring,baseline,0.0,0.0,0.9796264030071807,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.5520330329638402,0.45
ring,baseline,0.0,0.0,0.9761451393268012,0.8
ring,PBRC (social-only fallback),0.0,0.0,0.5383985017543332,0.6
ring,baseline,0.0,0.0,0.9737775429900323,0.75
ring,PBRC (social-only fallback),0.0,0.0,0.5499224601926271,0.65
ring,baseline,0.0,0.0,0.9987084509257539,0.85
ring,PBRC (social-only fallback),0.0,0.0,0.5370557641121938,0.65
ring,baseline,0.0,0.0,0.9985270364223184,0.1
ring,PBRC (social-only fallback),0.0,0.0,0.5419131067234795,0.25
ring,baseline,0.0,0.0,0.9998328135646594,0.8
ring,PBRC (social-only fallback),0.0,0.0,0.5454333965000451,0.6
ring,baseline,0.0,0.0,0.9995192563922315,0.3
ring,PBRC (social-only fallback),0.0,0.0,0.5422105958940127,0.3
ring,baseline,0.0,0.0,0.9560201438787399,0.4
ring,PBRC (social-only fallback),0.0,0.0,0.5317389302788225,0.5
ring,baseline,0.0,0.0,0.9881681185750196,0.0
ring,PBRC (social-only fallback),0.0,0.0,0.5466454785927823,0.35
ring,baseline,0.0,0.0,0.9859332795817043,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.5335850637239643,0.55
ring,baseline,0.0,0.0,0.9819605674433312,0.35
ring,PBRC (social-only fallback),0.0,0.0,0.5422982740373734,0.35
ring,baseline,0.0,0.0,0.9921773505583784,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.5210241218412127,0.6
ring,baseline,0.0,0.0,0.9977474071883055,0.3
ring,PBRC (social-only fallback),0.0,0.0,0.5470888556125406,0.4
ring,baseline,0.0,0.0,0.93963670079465,0.75
ring,PBRC (social-only fallback),0.0,0.0,0.5384633853766128,0.65
ring,baseline,0.0,0.0,0.9991242840738849,0.8
ring,PBRC (social-only fallback),0.0,0.0,0.5544472148516143,0.55
ring,baseline,0.0,0.0,0.9900611068252914,0.25
ring,PBRC (social-only fallback),0.0,0.0,0.5349702294409225,0.4
ring,baseline,0.0,0.0,0.9995392926183783,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5530079550835184,0.4
ring,baseline,0.0,0.0,0.9901055034451064,0.75
ring,PBRC (social-only fallback),0.0,0.0,0.5572566170615614,0.7
ring,baseline,0.0,0.0,0.9984913961442791,0.8
ring,PBRC (social-only fallback),0.0,0.0,0.5328861208993828,0.5
ring,baseline,0.0,0.0,0.9863575303462406,0.85
ring,PBRC (social-only fallback),0.0,0.0,0.5664796367802019,0.6
ring,baseline,0.0,0.0,0.9998887933840402,0.85
ring,PBRC (social-only fallback),0.0,0.0,0.5496214388528029,0.75
ring,baseline,0.0,0.0,0.9994875109355759,0.25
ring,PBRC (social-only fallback),0.0,0.0,0.5455930623169712,0.45
ring,baseline,0.0,0.0,0.9549934402043881,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.5366161848835664,0.45
ring,baseline,0.0,0.0,0.9974571414112274,0.3
ring,PBRC (social-only fallback),0.0,0.0,0.5539591851559863,0.45
ring,baseline,0.0,0.0,0.9736308112940412,0.2
ring,PBRC (social-only fallback),0.0,0.0,0.5350094960937313,0.4
ring,baseline,0.0,0.0,0.9999470673236601,0.1
ring,PBRC (social-only fallback),0.0,0.0,0.5449064390332212,0.25
ring,baseline,0.0,0.0,0.9627463379030565,0.6
ring,PBRC (social-only fallback),0.0,0.0,0.5317598903056936,0.5
ring,baseline,0.0,0.0,0.9960610006195367,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5429023226719113,0.4
ring,baseline,0.0,0.0,0.9996726250531284,0.75
ring,PBRC (social-only fallback),0.0,0.0,0.5438929624870499,0.55
ring,baseline,0.0,0.0,0.9963284303243934,0.7
ring,PBRC (social-only fallback),0.0,0.0,0.5426709489808886,0.65
ring,baseline,0.0,0.0,0.9761231767545983,0.25
ring,PBRC (social-only fallback),0.0,0.0,0.5393896954028043,0.4
ring,baseline,0.0,0.0,0.9923355732178754,0.85
ring,PBRC (social-only fallback),0.0,0.0,0.5452188173668369,0.65
ring,baseline,0.0,0.0,0.9730672682554848,0.65
ring,PBRC (social-only fallback),0.0,0.0,0.546452389680611,0.6
ring,baseline,0.0,0.0,0.9993637332149291,0.4
ring,PBRC (social-only fallback),0.0,0.0,0.5442581554695689,0.45
ring,baseline,0.0,0.0,0.9986615284556064,0.25
ring,PBRC (social-only fallback),0.0,0.0,0.5413601678850779,0.4
ring,baseline,0.0,0.0,0.985702431256736,0.8
ring,PBRC (social-only fallback),0.0,0.0,0.5451595195604172,0.55
ring,baseline,0.0,0.0,0.9860908526732886,0.7
ring,PBRC (social-only fallback),0.0,0.0,0.5428489593874684,0.5
ring,baseline,0.0,0.0,0.9999699441017862,0.6
ring,PBRC (social-only fallback),0.0,0.0,0.541925323571807,0.45
ring,baseline,0.0,0.0,0.9938587955339063,0.6
ring,PBRC (social-only fallback),0.0,0.0,0.5414827030867477,0.6
ring,baseline,0.0,0.0,0.9857833686028961,0.05
ring,PBRC (social-only fallback),0.0,0.0,0.5371990910733776,0.45
ring,baseline,0.0,0.0,0.9963795790230219,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.5481750063531433,0.5
ring,baseline,0.0,0.0,0.9777944767136878,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.541576783639945,0.6
ring,baseline,0.0,0.0,0.9801352488843456,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.5492449096946401,0.55
ring,baseline,0.0,0.0,0.9781192225311275,0.75
ring,PBRC (social-only fallback),0.0,0.0,0.5449235898443113,0.75
ring,baseline,0.0,0.0,0.9694438754472323,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.5418667763675794,0.55
ring,baseline,0.0,0.0,0.9847902583249623,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.5448371257144776,0.5
ring,baseline,0.0,0.0,0.989969745969527,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.5467147244166541,0.55
ring,baseline,0.0,0.0,0.9959415037230034,0.25
ring,PBRC (social-only fallback),0.0,0.0,0.5506289896062357,0.35
ring,baseline,0.0,0.0,0.9714213822276418,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.5375282631155536,0.45
ring,baseline,0.0,0.0,0.971143781122272,0.6
ring,PBRC (social-only fallback),0.0,0.0,0.5566968408749859,0.5
ring,baseline,0.0,0.0,0.9995552163765031,0.25
ring,PBRC (social-only fallback),0.0,0.0,0.5422942825115209,0.3
ring,baseline,0.0,0.0,0.9750966266359198,0.1
ring,PBRC (social-only fallback),0.0,0.0,0.5450114481528295,0.35
ring,baseline,0.0,0.0,0.9728199855186679,0.75
ring,PBRC (social-only fallback),0.0,0.0,0.5450692228961361,0.65
ring,baseline,0.0,0.0,0.9958147983819778,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.5389146691065334,0.65
ring,baseline,0.0,0.0,0.9995913455204617,0.7
ring,PBRC (social-only fallback),0.0,0.0,0.5329020832349474,0.55
ring,baseline,0.0,0.0,0.9921060690234089,0.1
ring,PBRC (social-only fallback),0.0,0.0,0.5283628312422499,0.3
ring,baseline,0.0,0.0,0.9655927221233596,0.6
ring,PBRC (social-only fallback),0.0,0.0,0.5517992936174612,0.5
ring,baseline,0.0,0.0,0.9879109947595621,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.5410776107117103,0.45
ring,baseline,0.0,0.0,0.9865737919832277,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.5526544375125729,0.5
ring,baseline,0.0,0.0,0.9992000992423498,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.5395203578695782,0.55
ring,baseline,0.0,0.0,0.9988122407015382,0.65
ring,PBRC (social-only fallback),0.0,0.0,0.5616003362819394,0.7
ring,baseline,0.0,0.0,0.9916716131106498,0.65
ring,PBRC (social-only fallback),0.0,0.0,0.5463085469658806,0.5
ring,baseline,0.0,0.0,0.9888681161789261,0.3
ring,PBRC (social-only fallback),0.0,0.0,0.5355975569324857,0.45
ring,baseline,0.0,0.0,0.9633865218513302,0.25
ring,PBRC (social-only fallback),0.0,0.0,0.549966609750158,0.35
ring,baseline,0.0,0.0,0.9770803079270693,0.2
ring,PBRC (social-only fallback),0.0,0.0,0.5458498515438032,0.3
ring,baseline,0.0,0.0,0.9985245433059273,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5446919559045489,0.45
ring,baseline,0.0,0.0,0.9757952947690809,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.541997022583266,0.65
ring,baseline,0.0,0.0,0.987484282916598,0.75
ring,PBRC (social-only fallback),0.0,0.0,0.5351503169738832,0.7
ring,baseline,0.0,0.0,0.9979827340103451,0.6
ring,PBRC (social-only fallback),0.0,0.0,0.5421081853774401,0.55
ring,baseline,0.0,0.0,0.9994840384351736,0.75
ring,PBRC (social-only fallback),0.0,0.0,0.5401054747953891,0.75
ring,baseline,0.0,0.0,0.9863063711217597,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.5394428443280676,0.4
ring,baseline,0.0,0.0,0.9420338224257057,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.5384834588090347,0.5
ring,baseline,0.0,0.0,0.9984624874972011,0.35
ring,PBRC (social-only fallback),0.0,0.0,0.5320406382711079,0.5
ring,baseline,0.0,0.0,0.9832767407955846,0.4
ring,PBRC (social-only fallback),0.0,0.0,0.5459508468297727,0.35
ring,baseline,0.0,0.0,0.9988266690597127,0.25
ring,PBRC (social-only fallback),0.0,0.0,0.5425117701834345,0.5
ring,baseline,0.0,0.0,0.9798287980713374,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.5314874456421138,0.6
ring,baseline,0.0,0.0,0.9996239580146042,0.25
ring,PBRC (social-only fallback),0.0,0.0,0.5434669125456576,0.45
ring,baseline,0.0,0.0,0.9993519525527736,0.2
ring,PBRC (social-only fallback),0.0,0.0,0.5364698316173497,0.45
ring,baseline,0.0,0.0,0.9995263704961465,0.75
ring,PBRC (social-only fallback),0.0,0.0,0.5325738993493946,0.7
ring,baseline,0.0,0.0,0.9954964021473026,0.35
ring,PBRC (social-only fallback),0.0,0.0,0.5457090637365731,0.5
ring,baseline,0.0,0.0,0.985098727798789,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.5372372802830379,0.5
ring,baseline,0.0,0.0,0.9853342088860227,0.3
ring,PBRC (social-only fallback),0.0,0.0,0.5372950295709547,0.35
ring,baseline,0.0,0.0,0.9978273825867084,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5455472675394282,0.6
ring,baseline,0.0,0.0,0.9912083903861871,0.7
ring,PBRC (social-only fallback),0.0,0.0,0.5381130880241604,0.65
ring,baseline,0.0,0.0,0.9671394585459699,0.3
ring,PBRC (social-only fallback),0.0,0.0,0.5413914167966165,0.4
ring,baseline,0.0,0.0,0.9754994436557716,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.536846636155041,0.5
ring,baseline,0.0,0.0,0.9871146566159574,0.35
ring,PBRC (social-only fallback),0.0,0.0,0.5422357536720115,0.6
ring,baseline,0.0,0.0,0.9990833603743822,0.1
ring,PBRC (social-only fallback),0.0,0.0,0.5457576721213454,0.35
ring,baseline,0.0,0.0,0.9990658679363602,0.6
ring,PBRC (social-only fallback),0.0,0.0,0.5429136508327164,0.45
ring,baseline,0.0,0.0,0.9933891675381235,0.25
ring,PBRC (social-only fallback),0.0,0.0,0.5508870696205361,0.35
ring,baseline,0.0,0.0,0.9982878436556044,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.5442579424901345,0.6
ring,baseline,0.0,0.0,0.9957141546460996,0.8
ring,PBRC (social-only fallback),0.0,0.0,0.546770852598083,0.45
ring,baseline,0.0,0.0,0.9989984222299183,0.4
ring,PBRC (social-only fallback),0.0,0.0,0.5469436918053568,0.55
ring,baseline,0.0,0.0,0.9907343591035087,0.9
ring,PBRC (social-only fallback),0.0,0.0,0.5493703069639174,0.75
ring,baseline,0.0,0.0,0.9669749887846786,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5486109301019674,0.55
ring,baseline,0.0,0.0,0.9873104020679223,0.3
ring,PBRC (social-only fallback),0.0,0.0,0.5394450268504901,0.3
ring,baseline,0.0,0.0,0.9804637913543697,0.3
ring,PBRC (social-only fallback),0.0,0.0,0.5502029361313936,0.45
ring,baseline,0.0,0.0,0.9999607621340326,0.85
ring,PBRC (social-only fallback),0.0,0.0,0.5524230442471391,0.45
ring,baseline,0.0,0.0,0.9945531181905632,0.4
ring,PBRC (social-only fallback),0.0,0.0,0.5395683216548119,0.5
ring,baseline,0.0,0.0,0.9996358575360315,0.4
ring,PBRC (social-only fallback),0.0,0.0,0.5560308374153956,0.25
ring,baseline,0.0,0.0,0.9995350852221346,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.5502568721183438,0.5
ring,baseline,0.0,0.0,0.9945515906843692,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.5444122241715319,0.4
ring,baseline,0.0,0.0,0.9983731253960973,0.15
ring,PBRC (social-only fallback),0.0,0.0,0.5420715392694276,0.4
ring,baseline,0.0,0.0,0.9896484030990639,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5323829604907264,0.6
ring,baseline,0.0,0.0,0.9917653228650309,0.6
ring,PBRC (social-only fallback),0.0,0.0,0.5575994534341288,0.55
ring,baseline,0.0,0.0,0.9974054344284122,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5398905240061189,0.45
ring,baseline,0.0,0.0,0.994364866276125,0.7
ring,PBRC (social-only fallback),0.0,0.0,0.5382956609997857,0.55
ring,baseline,0.0,0.0,0.9976399023377084,0.7
ring,PBRC (social-only fallback),0.0,0.0,0.5480996292985236,0.65
ring,baseline,0.0,0.0,0.9882052073664294,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5431006215033419,0.5
ring,baseline,0.0,0.0,0.983822528801009,0.65
ring,PBRC (social-only fallback),0.0,0.0,0.542001682597815,0.6
ring,baseline,0.0,0.0,0.999301209852668,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.5392024082450121,0.55
ring,baseline,0.0,1.0,0.9999999999990002,0.0
ring,PBRC (social-only fallback),0.0,0.0,0.5340656798592761,0.35
ring,baseline,0.0,0.0,0.9989091161787483,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5404206242048286,0.45
ring,baseline,0.0,0.0,0.9997654901051771,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.5438545390739964,0.45
ring,baseline,0.0,0.0,0.9994170583270587,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5468124484182276,0.45
ring,baseline,0.0,0.0,0.9995505181748173,0.7
