t,mean_p_true,mean_conf,frac_wrong,model
0,0.46338637461587523,0.697728560665768,0.25,baseline
1,0.41114476837275776,0.5888552316272422,1.0,baseline
2,0.3273042266399525,0.6726957733600475,1.0,baseline
3,0.19140369854183237,0.8085963014581676,1.0,baseline
4,0.053058701107102854,0.9469412988928971,1.0,baseline
5,0.003129720345016703,0.9968702796549833,1.0,baseline
6,9.856653244756521e-06,0.9999901433467555,1.0,baseline
7,9.715552833126752e-11,0.9999999999028446,1.0,baseline
8,1.0000000001933112e-12,0.9999999999990002,1.0,baseline
9,1.0000000000010004e-12,0.9999999999990002,1.0,baseline
10,1.0000000000010004e-12,0.9999999999990002,1.0,baseline
0,0.46338637461587523,0.697728560665768,0.25,PBRC (fallback)
1,0.46704773715428766,0.6779557045991913,0.25,PBRC (fallback)
2,0.47034296343885895,0.6601601341392723,0.25,PBRC (fallback)
3,0.47330866709497305,0.6441441207253451,0.25,PBRC (fallback)
4,0.4759778003854759,0.6297297086528106,0.25,PBRC (fallback)
5,0.4783800203469283,0.6167567377875296,0.25,PBRC (fallback)
6,0.48054201831223564,0.6050810640087768,0.25,PBRC (fallback)
7,0.4824878164810119,0.5945729576078991,0.25,PBRC (fallback)
8,0.48423903483291086,0.5851156618471093,0.25,PBRC (fallback)
9,0.48581513134961973,0.5766040956623983,0.25,PBRC (fallback)
10,0.48723361821465777,0.5689436860961585,0.25,PBRC (fallback)
