graph,model,lambda,all_wrong_sure,all_correct_sure,mean_conf,frac_wrong
ring,baseline,,0.0,0.0,0.9992921098615669,0.35
ring,baseline,,0.0,0.0,0.9996458879082027,0.75
ring,baseline,,0.0,0.0,0.970923442174047,0.7
ring,baseline,,0.0,0.0,0.9875994584049309,0.8
ring,baseline,,0.0,0.0,0.9755010613151704,0.6
ring,baseline,,0.0,0.0,0.9813397426175217,0.55
ring,baseline,,0.0,0.0,0.9782334939707523,0.15
ring,baseline,,0.0,0.0,0.9889600211698653,0.75
ring,baseline,,0.0,0.0,0.9582501573653461,0.65
ring,baseline,,0.0,0.0,0.988247164202981,0.7
ring,baseline,,0.0,0.0,0.9698253779357178,0.25
ring,baseline,,0.0,0.0,0.9455812216804793,0.15
ring,baseline,,0.0,0.0,0.9961299527316427,0.45
ring,baseline,,0.0,0.0,0.9998011931660086,0.2
ring,baseline,,0.0,0.0,0.9633182430721279,0.65
ring,baseline,,0.0,0.0,0.9801203710119635,0.35
ring,baseline,,0.0,0.0,0.9979312727703868,0.6
ring,baseline,,0.0,0.0,0.9995202898648147,0.2
ring,baseline,,0.0,0.0,0.9592235684765308,0.85
ring,baseline,,0.0,0.0,0.9943464654453565,0.35
ring,baseline,,1.0,0.0,0.9999999916264789,1.0
ring,baseline,,0.0,0.0,0.9759266168172284,0.35
ring,baseline,,0.0,0.0,0.9778961796925069,0.1
ring,baseline,,0.0,0.0,0.9625647762529219,0.1
ring,baseline,,0.0,0.0,0.9989938337571355,0.35
ring,baseline,,0.0,0.0,0.9943721428434079,0.6
ring,baseline,,0.0,0.0,0.9770108070512586,0.2
ring,baseline,,0.0,0.0,0.9583675284985664,0.75
ring,baseline,,0.0,0.0,0.9796264030071807,0.55
ring,baseline,,0.0,0.0,0.9761451393268012,0.8
ring,baseline,,0.0,0.0,0.9737775429900323,0.75
ring,baseline,,0.0,0.0,0.9987084509257539,0.85
ring,baseline,,0.0,0.0,0.9985270364223184,0.1
ring,baseline,,0.0,0.0,0.9998328135646594,0.8
ring,baseline,,0.0,0.0,0.9995192563922315,0.3
ring,baseline,,0.0,0.0,0.9560201438787399,0.4
ring,baseline,,0.0,0.0,0.9881681185750196,0.0
ring,baseline,,0.0,0.0,0.9859332795817043,0.5
ring,baseline,,0.0,0.0,0.9819605674433312,0.35
ring,baseline,,0.0,0.0,0.9921773505583784,0.55
ring,baseline,,0.0,0.0,0.9977474071883055,0.3
ring,baseline,,0.0,0.0,0.93963670079465,0.75
ring,baseline,,0.0,0.0,0.9991242840738849,0.8
ring,baseline,,0.0,0.0,0.9900611068252914,0.25
ring,baseline,,0.0,0.0,0.9995392926183783,0.45
ring,baseline,,0.0,0.0,0.9901055034451064,0.75
ring,baseline,,0.0,0.0,0.9984913961442791,0.8
ring,baseline,,0.0,0.0,0.9863575303462406,0.85
ring,baseline,,0.0,0.0,0.9998887933840402,0.85
ring,baseline,,0.0,0.0,0.9994875109355759,0.25
ring,baseline,,0.0,0.0,0.9549934402043881,0.5
ring,baseline,,0.0,0.0,0.9974571414112274,0.3
ring,baseline,,0.0,0.0,0.9736308112940412,0.2
ring,baseline,,0.0,0.0,0.9999470673236601,0.1
ring,baseline,,0.0,0.0,0.9627463379030565,0.6
ring,baseline,,0.0,0.0,0.9960610006195367,0.45
ring,baseline,,0.0,0.0,0.9996726250531284,0.75
ring,baseline,,0.0,0.0,0.9963284303243934,0.7
ring,baseline,,0.0,0.0,0.9761231767545983,0.25
ring,baseline,,0.0,0.0,0.9923355732178754,0.85
ring,baseline,,0.0,0.0,0.9730672682554848,0.65
ring,baseline,,0.0,0.0,0.9993637332149291,0.4
ring,baseline,,0.0,0.0,0.9986615284556064,0.25
ring,baseline,,0.0,0.0,0.985702431256736,0.8
ring,baseline,,0.0,0.0,0.9860908526732886,0.7
ring,baseline,,0.0,0.0,0.9999699441017862,0.6
ring,baseline,,0.0,0.0,0.9938587955339063,0.6
ring,baseline,,0.0,0.0,0.9857833686028961,0.05
ring,baseline,,0.0,0.0,0.9963795790230219,0.5
ring,baseline,,0.0,0.0,0.9777944767136878,0.45
ring,baseline,,0.0,0.0,0.9801352488843456,0.5
ring,baseline,,0.0,0.0,0.9781192225311275,0.75
ring,baseline,,0.0,0.0,0.9694438754472323,0.5
ring,baseline,,0.0,0.0,0.9847902583249623,0.55
ring,baseline,,0.0,0.0,0.989969745969527,0.55
ring,baseline,,0.0,0.0,0.9959415037230034,0.25
ring,baseline,,0.0,0.0,0.9714213822276418,0.5
ring,baseline,,0.0,0.0,0.971143781122272,0.6
ring,baseline,,0.0,0.0,0.9995552163765031,0.25
ring,baseline,,0.0,0.0,0.9750966266359198,0.1
ring,baseline,,0.0,0.0,0.9728199855186679,0.75
ring,baseline,,0.0,0.0,0.9958147983819778,0.55
ring,baseline,,0.0,0.0,0.9995913455204617,0.7
ring,baseline,,0.0,0.0,0.9921060690234089,0.1
ring,baseline,,0.0,0.0,0.9655927221233596,0.6
ring,baseline,,0.0,0.0,0.9879109947595621,0.55
ring,baseline,,0.0,0.0,0.9865737919832277,0.5
ring,baseline,,0.0,0.0,0.9992000992423498,0.5
ring,baseline,,0.0,0.0,0.9988122407015382,0.65
ring,baseline,,0.0,0.0,0.9916716131106498,0.65
ring,baseline,,0.0,0.0,0.9888681161789261,0.3
ring,baseline,,0.0,0.0,0.9633865218513302,0.25
ring,baseline,,0.0,0.0,0.9770803079270693,0.2
ring,baseline,,0.0,0.0,0.9985245433059273,0.45
ring,baseline,,0.0,0.0,0.9757952947690809,0.55
ring,baseline,,0.0,0.0,0.987484282916598,0.75
ring,baseline,,0.0,0.0,0.9979827340103451,0.6
ring,baseline,,0.0,0.0,0.9994840384351736,0.75
ring,baseline,,0.0,0.0,0.9863063711217597,0.5
ring,baseline,,0.0,0.0,0.9420338224257057,0.5
ring,baseline,,0.0,0.0,0.9984624874972011,0.35
ring,baseline,,0.0,0.0,0.9832767407955846,0.4
ring,baseline,,0.0,0.0,0.9988266690597127,0.25
