trial,token_set,accepted,cert_trigger,witness_size,equal_updates
0,"t_h0,t_h1",1,sup_h0,1,1
1,t_h1,1,sup_h1,1,1
2,"t_h0,t_h1",1,sup_h0,1,1
3,"t_h0,t_h1",1,sup_h0,1,1
4,t_h1,1,sup_h1,1,1
5,"t_h0,t_h1",1,sup_h0,1,1
6,t_h0,1,sup_h0,1,1
7,EMPTY,0,bot,0,1
8,EMPTY,0,bot,0,1
9,EMPTY,0,bot,0,1
10,t_h1,1,sup_h1,1,1
11,t_h0,1,sup_h0,1,1
12,t_h1,1,sup_h1,1,1
13,"t_h0,t_h1",1,sup_h0,1,1
14,EMPTY,0,bot,0,1
15,"t_h0,t_h1",1,sup_h0,1,1
16,EMPTY,0,bot,0,1
17,EMPTY,0,bot,0,1
18,EMPTY,0,bot,0,1
19,t_h1,1,sup_h1,1,1
20,EMPTY,0,bot,0,1
21,t_h1,1,sup_h1,1,1
22,EMPTY,0,bot,0,1
23,t_h1,1,sup_h1,1,1
24,"t_h0,t_h1",1,sup_h0,1,1
25,t_h0,1,sup_h0,1,1
26,t_h1,1,sup_h1,1,1
27,t_h0,1,sup_h0,1,1
28,t_h0,1,sup_h0,1,1
29,EMPTY,0,bot,0,1
30,t_h1,1,sup_h1,1,1
31,EMPTY,0,bot,0,1
32,"t_h0,t_h1",1,sup_h0,1,1
33,EMPTY,0,bot,0,1
34,EMPTY,0,bot,0,1
35,EMPTY,0,bot,0,1
36,EMPTY,0,bot,0,1
37,"t_h0,t_h1",1,sup_h0,1,1
38,t_h1,1,sup_h1,1,1
39,EMPTY,0,bot,0,1
40,EMPTY,0,bot,0,1
41,t_h0,1,sup_h0,1,1
42,EMPTY,0,bot,0,1
43,"t_h0,t_h1",1,sup_h0,1,1
44,t_h0,1,sup_h0,1,1
45,"t_h0,t_h1",1,sup_h0,1,1
46,t_h0,1,sup_h0,1,1
47,"t_h0,t_h1",1,sup_h0,1,1
48,EMPTY,0,bot,0,1
49,"t_h0,t_h1",1,sup_h0,1,1
50,"t_h0,t_h1",1,sup_h0,1,1
51,t_h1,1,sup_h1,1,1
52,EMPTY,0,bot,0,1
53,"t_h0,t_h1",1,sup_h0,1,1
54,t_h0,1,sup_h0,1,1
55,"t_h0,t_h1",1,sup_h0,1,1
56,t_h0,1,sup_h0,1,1
57,"t_h0,t_h1",1,sup_h0,1,1
58,EMPTY,0,bot,0,1
59,"t_h0,t_h1",1,sup_h0,1,1
60,t_h0,1,sup_h0,1,1
61,"t_h0,t_h1",1,sup_h0,1,1
62,EMPTY,0,bot,0,1
63,"t_h0,t_h1",1,sup_h0,1,1
64,t_h1,1,sup_h1,1,1
65,t_h1,1,sup_h1,1,1
66,EMPTY,0,bot,0,1
67,t_h1,1,sup_h1,1,1
68,t_h1,1,sup_h1,1,1
69,t_h0,1,sup_h0,1,1
70,"t_h0,t_h1",1,sup_h0,1,1
71,t_h0,1,sup_h0,1,1
72,t_h0,1,sup_h0,1,1
73,t_h0,1,sup_h0,1,1
74,EMPTY,0,bot,0,1
75,EMPTY,0,bot,0,1
76,t_h0,1,sup_h0,1,1
77,EMPTY,0,bot,0,1
78,"t_h0,t_h1",1,sup_h0,1,1
