N_tokens,cost_full,cost_short_random,cost_short_adversarial
1,1.0,1.0,1.0
6,6.0,3.579,6.0
11,11.0,5.9585,11.0
16,16.0,8.3835,16.0
21,21.0,10.8875,21.0
26,26.0,13.6645,26.0
31,31.0,16.027,31.0
36,36.0,18.37,36.0
41,41.0,20.941,41.0
46,46.0,23.467,46.0
51,51.0,25.8535,51.0
56,56.0,28.094,56.0
61,61.0,30.811,61.0
66,66.0,34.0605,66.0
71,71.0,35.74,71.0
76,76.0,38.678,76.0
81,81.0,40.5955,81.0
86,86.0,43.278,86.0
91,91.0,45.2965,91.0
96,96.0,48.442,96.0
101,101.0,51.726,101.0
106,106.0,54.8345,106.0
111,111.0,54.831,111.0
116,116.0,57.6205,116.0
121,121.0,61.5305,121.0
126,126.0,62.8665,126.0
131,131.0,65.863,131.0
136,136.0,69.594,136.0
141,141.0,71.9115,141.0
146,146.0,72.768,146.0
151,151.0,76.1395,151.0
156,156.0,77.345,156.0
161,161.0,80.633,161.0
166,166.0,83.987,166.0
171,171.0,85.369,171.0
176,176.0,89.433,176.0
181,181.0,90.5145,181.0
186,186.0,93.764,186.0
191,191.0,95.987,191.0
196,196.0,101.413,196.0
201,201.0,100.9965,201.0
206,206.0,103.2725,206.0
211,211.0,107.714,211.0
216,216.0,109.6015,216.0
221,221.0,110.2685,221.0
226,226.0,109.267,226.0
231,231.0,115.0605,231.0
236,236.0,118.405,236.0
241,241.0,119.225,241.0
246,246.0,123.691,246.0
251,251.0,128.2015,251.0
256,256.0,130.291,256.0
261,261.0,130.602,261.0
266,266.0,135.1375,266.0
271,271.0,136.1795,271.0
276,276.0,137.308,276.0
281,281.0,142.813,281.0
286,286.0,145.7255,286.0
291,291.0,143.793,291.0
296,296.0,148.7085,296.0
301,301.0,151.6425,301.0
306,306.0,154.03,306.0
311,311.0,155.321,311.0
316,316.0,155.4785,316.0
321,321.0,160.0875,321.0
326,326.0,162.307,326.0
331,331.0,168.5065,331.0
336,336.0,170.452,336.0
341,341.0,169.0405,341.0
346,346.0,170.503,346.0
351,351.0,179.3995,351.0
356,356.0,181.053,356.0
361,361.0,180.5455,361.0
366,366.0,184.523,366.0
371,371.0,188.6355,371.0
376,376.0,188.599,376.0
381,381.0,193.545,381.0
386,386.0,190.052,386.0
391,391.0,194.632,391.0
396,396.0,195.68,396.0
401,401.0,202.56,401.0
406,406.0,203.08,406.0
411,411.0,204.198,411.0
416,416.0,210.935,416.0
421,421.0,212.337,421.0
426,426.0,210.2455,426.0
431,431.0,216.978,431.0
436,436.0,220.7,436.0
441,441.0,212.655,441.0
446,446.0,226.1025,446.0
451,451.0,231.63,451.0
456,456.0,231.561,456.0
461,461.0,228.6555,461.0
466,466.0,236.442,466.0
471,471.0,236.343,471.0
476,476.0,238.666,476.0
481,481.0,239.424,481.0
486,486.0,241.0,486.0
491,491.0,249.291,491.0
496,496.0,244.3085,496.0
